16 4
0 0 -1.0
0 1 -1.0
0 2 -1.0
0 3 -1.0
1 0 -1.0
1 1 -1.0
1 2 -1.0
1 3 -1.0
2 0 -1.0
2 1 -1.0
2 2 -1.0
2 3 -1.0
3 0 -1.0
3 1 -1.0
3 2 -1.0
3 3 -1.0
4 0 -1.0
4 1 -1.0
4 2 -1.0
4 3 -1.0
5 0 -1.0
5 1 -1.0
5 2 -1.0
5 3 -1.0
6 0 -1.0
6 1 -1.0
6 2 -1.0
6 3 -1.0
7 0 -1.0
7 1 -1.0
7 2 -1.0
7 3 -1.0
8 0 -1.0
8 1 -1.0
8 2 -1.0
8 3 -1.0
9 0 -1.0
9 1 -1.0
9 2 -1.0
9 3 -1.0
10 0 -1.0
10 1 -1.0
10 2 -1.0
10 3 -1.0
11 0 -1.0
11 1 -1.0
11 2 -1.0
11 3 -1.0
12 0 -1.0
12 1 -1.0
12 2 -1.0
12 3 -1.0
13 0 -1.0
13 1 -1.0
13 2 -1.0
13 3 -1.0
14 0 -1.0
14 1 -1.0
14 2 -1.0
14 3 -1.0
15 0 0.0
15 1 0.0
15 2 0.0
15 3 0.0
0 1 0 1.0
0 4 1 1.0
0 0 2 1.0
0 0 3 1.0
1 2 0 1.0
1 5 1 1.0
1 0 2 1.0
1 1 3 1.0
2 3 0 1.0
2 6 1 1.0
2 1 2 1.0
2 2 3 1.0
3 3 0 1.0
3 7 1 1.0
3 2 2 1.0
3 3 3 1.0
4 5 0 1.0
4 8 1 1.0
4 4 2 1.0
4 0 3 1.0
5 6 0 1.0
5 9 1 1.0
5 4 2 1.0
5 1 3 1.0
6 7 0 1.0
6 10 1 1.0
6 5 2 1.0
6 2 3 1.0
7 7 0 1.0
7 11 1 1.0
7 6 2 1.0
7 3 3 1.0
8 9 0 1.0
8 12 1 1.0
8 8 2 1.0
8 4 3 1.0
9 10 0 1.0
9 13 1 1.0
9 8 2 1.0
9 5 3 1.0
10 11 0 1.0
10 14 1 1.0
10 9 2 1.0
10 6 3 1.0
11 11 0 1.0
11 15 1 1.0
11 10 2 1.0
11 7 3 1.0
12 13 0 1.0
12 12 1 1.0
12 12 2 1.0
12 8 3 1.0
13 14 0 1.0
13 13 1 1.0
13 12 2 1.0
13 9 3 1.0
14 15 0 1.0
14 14 1 1.0
14 13 2 1.0
14 10 3 1.0
15 15 0 1.0
15 15 1 1.0
15 15 2 1.0
15 15 3 1.0
